"	Year",Temperature
12/31/1960,6.2446775
12/31/1961,6.507298333
12/31/1962,6.203833333
12/31/1963,6.464410833
12/31/1964,6.091908333
12/31/1965,6.144144167
12/31/1966,6.208409167
12/31/1967,5.778564167
12/31/1968,6.079211667
12/31/1969,5.705586667
12/31/1970,5.909671667
12/31/1971,6.227025833
12/31/1972,6.129684167
12/31/1973,6.528764167
12/31/1974,6.0019575
12/31/1975,6.514779167
12/31/1976,5.847539167
12/31/1977,6.2421675
12/31/1978,6.459039167
12/31/1979,6.4540025
12/31/1980,6.395065833
12/31/1981,6.431515
12/31/1982,6.644795
12/31/1983,6.434331667
12/31/1984,5.96264
12/31/1985,6.208075
12/31/1986,6.35989
12/31/1987,6.623119167
12/31/1988,6.74342
12/31/1989,6.69435
12/31/1990,7.016505
12/31/1991,6.572946667
12/31/1992,6.367953333
12/31/1993,6.3996625
12/31/1994,7.011859167
12/31/1995,6.800045833
12/31/1996,6.407525
12/31/1997,6.876461667
12/31/1998,7.497015
12/31/1999,7.306030833
12/31/2000,6.754055
12/31/2001,7.103970833
12/31/2002,7.319756667
12/31/2003,7.004564167
12/31/2004,7.335155833
12/31/2005,6.96136
12/31/2006,7.427330833
12/31/2007,7.704940833
12/31/2008,7.123865
12/31/2009,7.253823333
12/31/2010,6.996725
12/31/2011,6.864008333
12/31/2012,6.579595
12/31/2013,7.193798333
12/31/2014,6.9413475
12/31/2015,7.484923333
12/31/2016,6.579595
12/31/2017,7.193798333
