Year,Temperature
1960,24.29
1961,24
1962,24.04
1963,24.15
1964,24.1
1965,24.07
1966,24.36
1967,24.11
1968,23.94
1969,24.46
1970,24.26
1971,23.91
1972,24.1
1973,24.41
1974,24
1975,23.74
1976,24.07
1977,24.35
1978,24.24
1979,24.57
1980,24.55
1981,24.27
1982,24.15
1983,24.12
1984,24.26
1985,24.45
1986,24.2
1987,24.57
1988,24.42
1989,24.03
1990,24.21
1991,24.28
1992,24.15
1993,24.43
1994,24.46
1995,25.29
1996,24.55
1997,24.1
1998,24.76
1999,24.67
2000,24.6
2001,24.73
2002,25
2003,24.72
2004,24.74
2005,24.58
2006,25.06
2007,24.77
2008,24.61
2009,25.11
2010,25.13
2011,24.67
2012,24.69
2013,24.82
2014,24.73
2015,24.91
2016,26.45
2017,25.13
2018,24.67
