Year,Production
1960,20960
1961,14250
1962,16665
1963,18475
1964,20840
1965,25220
1966,25280
1967,28485
1968,27455
1969,27285
1970,29185
1971,32575
1972,35985
1973,35225
1974,40865
1975,45310
1976,50385
1977,41075
1978,53840
1979,62730
1980,55210
1981,59640
1982,68470
1983,81390
1984,87815
1985,85810
1986,90040
1987,87764
1988,85432
1989,90807
1990,98229
1991,96000
1992,101590
1993,106390
1994,99300
1995,102215
1996,110570
1997,123289
1998,109726
1999,113880
2000,99640
2001,93873
2002,90290
2003,86490
2004,91952
2005,97445
2006,108466
2007,109525
2008,112932
2009,115834
2010,116141
2011,118625
2012,122540
2013,123710
2014,128321
2015,132639
2016,133271
2017,134334
2018,132502
