Year,Production
1960,1499
1961,1436
1962,1593
1963,1493
1964,1500
1965,1272
1966,1465
1967,1299
1968,1526
1969,1277
1970,1519
1971,1729
1972,1616
1973,1837
1974,1883
1975,2033
1976,1960
1977,1697
1978,1933
1979,1856
1980,1796
1981,1938
1982,2017
1983,1996
1984,1815
1985,1873
1986,1929
1987,2443
1988,2839
1989,3183
1990,4286
1991,4482
1992,4617
1993,4780
1994,4100
1995,5700
1996,5735
1997,5850
1998,6104
1999,6350
2000,6350
2001,6130
2002,6300
2003,6443
2004,7177
2005,8184
2006,8274
2007,7379
2008,7977
2009,8523
2010,7200
2011,8400
2012,8500
2013,8250
2014,8300
2015,8100
2016,8100
2017,8450
2018,8450
