"	Year",Temperature
1960,13.2199
1960,15.3634
1960,18.169
1960,22.9107
1960,26.6059
1960,28.2047
1960,29.142
1960,29.1575
1960,27.5063
1960,26.3354
1960,19.7631
1960,17.6009
1961,14.0786
1961,12.6952
1961,15.6889
1961,22.1617
1961,26.0617
1961,30.5757
1961,28.8228
1961,28.8444
1961,25.1192
1961,22.5937
1961,18.1257
1961,13.9443
1962,13.5471
1962,13.6807
1962,20.3499
1962,22.0382
1962,25.8791
1962,29.4267
1962,29.2128
1962,30.2304
1962,27.6745
1962,25.0642
1962,22.209
1962,14.2918
1963,14.7325
1963,16.2925
1963,17.2716
1963,23.2524
1963,26.3081
1963,29.3628
1963,29.7757
1963,29.9985
1963,28.1502
1963,26.1327
1963,19.1289
1963,15.0104
1964,11.8393
1964,13.6404
1964,18.5711
1964,22.3157
1964,24.729
1964,28.3481
1964,28.5027
1964,28.9844
1964,25.7629
1964,23.9866
1964,18.4638
1964,14.7923
1965,13.4667
1965,15.104
1965,18.6184
1965,21.3718
1965,24.551
1965,29.1596
1965,29.5326
1965,29.2719
1965,27.2763
1965,23.1949
1965,17.8736
1965,13.7112
1966,13.1546
1966,14.4867
1966,17.3016
1966,22.7272
1966,26.5072
1966,29.0544
1966,29.1433
1966,29.42
1966,27.5011
1966,25.5226
1966,21.5545
1966,14.24
1967,11.8421
1967,14.1415
1967,15.3048
1967,22.3199
1967,25.3957
1967,28.5839
1967,28.5902
1967,29.1036
1967,26.7828
1967,23.2775
1967,17.8869
1967,14.8844
1968,12.4801
1968,14.3267
1968,16.9394
1968,21.8377
1968,26.829
1968,30.2912
1968,29.6934
1968,29.3807
1968,27.3436
1968,22.7066
1968,18.4232
1968,14.4262
1969,11.9276
1969,17.0283
1969,20.9901
1969,21.1624
1969,25.8643
1969,29.8785
1969,27.944
1969,29.0912
1969,29.1215
1969,25.2376
1969,19.4135
1969,14.738
1970,14.2779
1970,15.2717
1970,18.0944
1970,22.6799
1970,26.2618
1970,27.4319
1970,28.7274
